SPS,TID,TA
Empidonomus varius,1,1920
Empidonomus varius,1,1800
Empidonomus varius,7,2094
Empidonomus varius,7,2454
Empidonomus varius,7,2094
Empidonomus varius,981,380
Empidonomus varius,981,324
Empidonomus varius,981,266
Empidonomus varius,990,862
Empidonomus varius,990,742
Empidonomus varius,990,742
Empidonomus varius,990,623
Empidonomus varius,1007,625
Empidonomus varius,1007,624
Empidonomus varius,1465,101
Empidonomus varius,1465,44
Empidonomus varius,1504,762
Empidonomus varius,1504,999
Empidonomus varius,1504,999
Empidonomus varius,1504,762
Columbina talpacoti,17,2575
Columbina talpacoti,17,2454
Columbina talpacoti,26,2154
Columbina talpacoti,26,2334
Columbina talpacoti,52,2395
Columbina talpacoti,52,2454
Tangara cayana,28,2454
Tangara cayana,28,2454
Tangara cayana,449,2067
Tangara cayana,449,2126
Tangara cayana,1184,1607
Tangara cayana,1184,1307
Tangara cayana,1188,1308
Tangara cayana,1188,1247
Tangara cayana,1213,1663
Tangara cayana,1213,1496
Tangara cayana,1467,226
Tangara cayana,1467,166
Tangara cayana,1467,226
Tangara cayana,1474,45
Tangara cayana,1474,226
Tangara cayana,1487,586
Tangara cayana,1487,645
Tangara cayana,1492,762
Tangara cayana,1492,938
Tangara cayana,1889,1115
Tangara cayana,1889,1230
Tangara cayana,1889,1230
Tangara cayana,1910,1056
Tangara cayana,1910,1059
Tangara cayana,1912,1115
Tangara cayana,1912,1056
Tangara cayana,1921,1117
Tangara cayana,1921,943
Tangara cayana,2606,2997
Tangara cayana,2606,2878
Tangara cayana,2606,2878
Tangara cayana,2606,3049
Tangara cayana,2606,3049
Tangara cayana,2606,2870
Tangara cayana,2606,2870
Tangara cayana,2606,2633
Tangara cayana,2715,1534
Tangara cayana,2715,2308
Tachyphonus coronatus,49,2454
Tachyphonus coronatus,49,2273
Tachyphonus coronatus,306,1906
Tachyphonus coronatus,306,1842
Tachyphonus coronatus,451,1403
Tachyphonus coronatus,451,1582
Tachyphonus coronatus,451,1403
Tachyphonus coronatus,629,266
Tachyphonus coronatus,629,142
Tachyphonus coronatus,1002,684
Tachyphonus coronatus,1002,744
Tachyphonus coronatus,1183,1607
Tachyphonus coronatus,1183,1489
Tachyphonus coronatus,1183,1489
Tachyphonus coronatus,1183,1607
Tachyphonus coronatus,1183,1607
Tachyphonus coronatus,1183,1668
Tachyphonus coronatus,1185,1727
Tachyphonus coronatus,1185,1607
Tachyphonus coronatus,1185,1607
Tachyphonus coronatus,1185,1663
