intercept	woodland	ubiquous	diet	wingspan
1	0	1	1	0.9072719832400503
1	0	0	0	-0.12738524230410186
1	0	1	1	0.06599614394647665
1	0	0	0	-1.0185970496555954
1	1	0	0	0.42532605079733515
1	0	0	0	-0.6592671428047369
1	0	0	0	-1.2787077968567528
1	0	1	0	-0.12738524230410186
1	0	1	0	-0.43743195756317926
1	0	0	1	1.5946443935552643
1	0	1	1	-0.12738524230410186
1	0	0	1	0.06599614394647665
1	0	1	0	0.06599614394647665
1	0	0	0	-0.43743195756317926
1	0	0	0	0.9072719832400503
1	0	1	1	0.06599614394647665
1	0	1	1	-0.12738524230410186
1	0	1	0	-1.4158178329424533
1	0	0	1	0.06599614394647665
1	0	0	0	-1.2787077968567528
1	0	1	1	0.24994045275203652
1	0	0	1	-1.0185970496555954
1	0	1	1	-0.775279695347097
1	0	1	0	-1.0185970496555954
1	0	0	1	-0.22792747986552844
1	0	1	1	0.9072719832400503
1	0	0	1	-0.43743195756317926
1	0	1	1	0.06599614394647665
1	0	0	1	0.24994045275203652
1	0	0	0	1.2666018900909104
1	0	0	1	-0.546718173850737
1	0	0	0	0.338653027420537
1	0	1	1	1.8964142438637122
1	0	1	0	2.6792375871573366
1	0	0	1	-0.12738524230410186
1	0	1	1	-0.546718173850737
1	0	1	1	-1.0185970496555954
1	0	1	0	2.175809485647684
1	0	0	0	-0.775279695347097
1	1	0	1	0.7533685542616925
1	1	0	0	-0.33122463934038127
1	0	1	1	-0.12738524230410186
1	0	1	1	0.592914106309633
1	1	0	1	-0.43743195756317926
1	0	1	0	-0.775279695347097
1	0	0	0	-0.775279695347097
1	0	0	0	1.2666018900909104
1	0	1	1	0.338653027420537
1	0	1	1	1.2666018900909104
1	0	0	1	0.5100511999531924
1	0	0	0	0.06599614394647665
1	1	0	0	1.5946443935552643
1	1	0	1	-1.2787077968567528
1	1	0	0	-0.43743195756317926
1	0	0	0	-1.0185970496555954
1	0	1	0	0.338653027420537
1	0	1	0	0.24994045275203652
1	0	0	1	-0.43743195756317926
1	0	0	0	-0.43743195756317926
1	0	0	0	1.2666018900909104
1	0	1	1	0.06599614394647665
1	0	1	0	2.6792375871573366
1	0	0	0	0.06599614394647665
1	0	0	0	3.879843333301772
1	0	0	0	0.42532605079733515
1	0	1	0	-0.43743195756317926
1	0	1	1	0.06599614394647665
1	0	0	0	-0.12738524230410186
1	1	0	1	0.5100511999531924
1	0	0	0	-1.705969459970811
1	0	0	1	-0.43743195756317926
1	0	1	1	-0.33122463934038127
1	0	0	1	-0.43743195756317926
1	0	1	1	-1.0185970496555954
1	0	1	1	0.06599614394647665
1	1	0	1	-0.43743195756317926
1	0	1	1	-0.6592671428047369
1	0	0	0	-0.43743195756317926
1	0	0	1	-1.705969459970811
1	0	1	1	-0.6592671428047369
1	0	0	0	1.1974236102684082
1	0	1	0	-0.43743195756317926
1	0	1	0	0.06599614394647665
1	0	0	0	0.5100511999531924
1	0	0	0	-1.2787077968567528
1	0	1	1	-1.4158178329424533
1	0	1	0	-0.6592671428047369
